"","ID","Site.Name","Town..County.State","UNIT_LINK","OBJECTID","STATE","MIN_EON","MIN_ERA","MIN_PERIOD","MIN_EPOCH","MIN_AGE","FULL_MIN","CMIN_AGE","MAX_EON","MAX_ERA","MAX_PERIOD","MAX_EPOCH","MAX_AGE","FULL_MAX","CMAX_AGE","MIN_MA","MAX_MA","AGE_TYPE","AGE_COM"
"1","LCP_PPINE_San_D","Sanderson","Sanderson, Baker County, FL","FLPOPSu;0",888,"FL","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Tertiary-Neogene","Pliocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Pliocene","Pliocene",0.0117,5.333,"Relative",""
"2","LCP_PPINE_Wav_A","Waverly","Waverly, Camden County, GA","GAQpmm;1",1054,"GA","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0.0117,2.58,"Relative",""
"3","LCP_PPINE_Wal_C","Waldo","Waldo, Alachua County, FL","FLMIhc;0",868,"FL","Phanerozoic","Cenozoic","Tertiary-Neogene","Late-Miocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Late-Miocene","Late-Miocene","Phanerozoic","Cenozoic","Tertiary-Neogene","Middle-Miocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Middle-Miocene","Middle-Miocene",5.333,15.97,"Relative",""
"4","LCP_PPINE_Per_C","Perry","Perry, Taylor County, FL","FLOGs;0",879,"FL","Phanerozoic","Cenozoic","Tertiary-Paleogene","Oligocene","","Phanerozoic - Cenozoic - Tertiary-Paleogene - Oligocene","Oligocene","Phanerozoic","Cenozoic","Tertiary-Paleogene","Oligocene","","Phanerozoic - Cenozoic - Tertiary-Paleogene - Oligocene","Oligocene",23.03,33.9,"Relative",""
"5","LCP_PPINE_Big_C","Big Bend","St. George, Charlton County, GA","GAQwi;1",1060,"GA","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0.0117,2.58,"Relative",""
"6","WG_PPINE_Bog_A","Bogalusa","Bogalusa, Washington County, LA","LAQtp;0",1358,"LA","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0.0117,2.58,"Relative",""
"7","WG_PPINE_DeR_A","DeRidder","DeRidder, Beauregard County, LA","LAQti;0",1356,"LA","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0.0117,2.58,"Relative",""
"8","WG_PPINE_Kir","Kirbyville","Kirbyville, Jasper County, TX","TXQl;0",5117,"TX","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0.0117,2.58,"Relative",""
"9","LCP_CCLONES1_Oak_F","Oakfield","Oakfield, Worth County, GA","GAEOo;1",924,"GA","Phanerozoic","Cenozoic","Tertiary-Paleogene","Eocene","","Phanerozoic - Cenozoic - Tertiary-Paleogene - Eocene","Eocene","Phanerozoic","Cenozoic","Tertiary-Paleogene","Eocene","","Phanerozoic - Cenozoic - Tertiary-Paleogene - Eocene","Eocene",33.9,56,"Relative",""
"10","LCP_CCLONES1_BFG","BFGrant","Putnam County, GA","GAgg4;3",938,"GA","Phanerozoic","Paleozoic","","","","Phanerozoic - Paleozoic","Paleozoic","preCambrian","","","","","preCambrian","preCambrian",252.23,4600,"Relative",""
