ID,Study,Series ,Test,Site Name,Town- County-State,lon,lat,Planted,Harvested,Species,acres,Soil type and/or CRIFF series
LCP_PPINE_San_D,LCP PPINES,A,,Sanderson,"Sanderson, Baker County, FL",-82.333775,30.239048,2000,2020,Loblolly,28,"CRIFF D - Leon sand (sandy, siliceous, thermic Aeric Alaquod)"
LCP_PPINE_Wav_A,LCP PPINES,A,,Waverly,"Waverly, Camden County, GA",-81.755233,31.12504,2000,,Loblolly,28,CRIFF A
LCP_PPINE_Wal_C,LCP PPINES,A,,Waldo,"Waldo, Alachua County, FL",-82.208827,29.803635,2000,,Slash and mixed loblolly,28,CRIFF C
LCP_PPINE_Per_C,LCP PPINES,A,,Perry,"Perry, Taylor County, FL",-83.743286,30.156854,2000,2023,Slash and mixed loblolly,28,CRIFF C
LCP_PPINE_Big_C,LCP PPINES,A,,Big Bend,"St. George, Charlton County, GA",-82.097468,30.476281,2000,,Slash and mixed loblolly,20,CRIFF C
WG_PPINE_Bog_A,WG PPINES,A,,Bogalusa,"Bogalusa, Washington County, LA",-89.860858,30.869152,2001,,Slash and mixed loblolly,20,Myatt fine sandy loam
WG_PPINE_DeR_A,WG PPINES,A,,DeRidder,"DeRidder, Beauregard County, LA",-93.359789,30.856645,2002,,Slash and mixed loblolly,20,Caddo-Messer silt loam
WG_PPINE_Kir,WG PPINES,A,,Kirbyville,"Kirbyville, Jasper County, TX",-93.99407,30.59734,2001,,Slash and mixed loblolly,20,"Kirbyville-Waller association, gently undulating flats"
LCP_CCLONES1_Oak_F,CCLONES 1  (LCP loblolly) ,B,A,Oakfield,"Oakfield, Worth County, GA",-83.94655,31.743592,2002,,Loblolly,17,
LCP_CCLONES1_BFG,CCLONES 1  (LCP loblolly) ,B,B,BFGrant,"Putnam County, GA",-83.496534,33.414571,,,Loblolly,,
LCP_CCLONES1_Pal_C,CCLONES 1  (LCP loblolly) ,B,C,Palatka,"Palatka, Putnam County, FL",-81.740298,29.640283,2002,,Loblolly,17,CRIFF C
