"","ID","Study","Test","Site.Name","Town..County.State","Planted","Harvested","Species","acres","mukey","muname","comppct_r","compname","drainagecl","taxclname","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","taxpartsize","taxceactcl","taxtempcl","taxmoistscl","cokey","geometry"
"1","LCP_PPINE_San_D","LCP PPINES","","Sanderson","Sanderson, Baker County, FL",2000,2020,"Loblolly",28,1444881,"Leon sand, 0 to 2 percent slopes",92,"Leon","Poorly drained","Sandy, siliceous, thermic Aeric Alaquods","Spodosols","Aquods","Alaquods","Aeric Alaquods","sandy","not used","thermic","Aeric",24991239,c(-82.333775, 30.239048)
"2","LCP_PPINE_Wav_A","LCP PPINES","","Waverly","Waverly, Camden County, GA",2000,NA,"Loblolly",28,125405,"Bladen loam, 0 to 2 percent slopes, occasionally flooded",90,"Bladen","Poorly drained","Fine, mixed, semiactive, thermic Typic Albaquults","Ultisols","Aquults","Albaquults","Typic Albaquults","fine","semiactive","thermic","Typic",26110189,c(-81.755233, 31.12504)
"3","LCP_PPINE_Wal_C","LCP PPINES","","Waldo","Waldo, Alachua County, FL",2000,NA,"Slash and mixed loblolly",28,320671,"Pomona sand, 0 to 2 percent slopes",70,"Pomona","Poorly drained","Sandy, siliceous, hyperthermic Ultic Alaquods","Spodosols","Aquods","Alaquods","Ultic Alaquods","sandy","not used","hyperthermic","Typic",25395657,c(-82.208827, 29.803635)
"4","LCP_PPINE_Per_C","LCP PPINES","","Perry","Perry, Taylor County, FL",2000,2023,"Slash and mixed loblolly",28,1425203,"Sapelo fine sand, 0 to 2 percent slopes",85,"Sapelo","Poorly drained","Sandy, siliceous, thermic Ultic Alaquods","Spodosols","Aquods","Alaquods","Ultic Alaquods","sandy","not used","thermic","Typic",25101025,c(-83.743286, 30.156854)
"5","LCP_PPINE_Big_C","LCP PPINES","","Big Bend","St. George, Charlton County, GA",2000,NA,"Slash and mixed loblolly",20,2686753,"Mandarin fine sand, 0 to 2 percent slopes",92,"Mandarin","Somewhat poorly drained","Sandy, siliceous, thermic Oxyaquic Alorthods","Spodosols","Orthods","Alorthods","Oxyaquic Alorthods","sandy","not used","thermic","Oxyaquic",26110042,c(-82.097468, 30.476281)
"6","WG_PPINE_Bog_A","WG PPINES","","Bogalusa","Bogalusa, Washington County, LA",2001,NA,"Slash and mixed loblolly",20,1724143,"Myatt fine sandy loam, 0 to 1 percent slopes",90,"Myatt","Poorly drained","Fine-loamy, siliceous, active, thermic Typic Endoaquults","Ultisols","Aquults","Endoaquults","Typic Endoaquults","fine-loamy","active","thermic","Aquic",25955762,c(-89.860858, 30.869152)
"7","WG_PPINE_DeR_A","WG PPINES","","DeRidder","DeRidder, Beauregard County, LA",2002,NA,"Slash and mixed loblolly",20,1725696,"Caddo-Messer complex, 0 to 1 percent slopes",60,"Caddo","Poorly drained","Fine-silty, siliceous, active, thermic Typic Glossaqualfs","Alfisols","Aqualfs","Glossaqualfs","Typic Glossaqualfs","fine-silty","active","thermic","Typic",25886111,c(-93.359789, 30.856645)
"8","WG_PPINE_Kir","WG PPINES","","Kirbyville","Kirbyville, Jasper County, TX",2001,NA,"Slash and mixed loblolly",20,2888409,"Kirbyville fine sandy loam, 0 to 2 percent slopes",90,"Kirbyville","Moderately well drained","Fine-loamy, siliceous, semiactive, thermic Oxyaquic Paleudults","Ultisols","Udults","Paleudults","Oxyaquic Paleudults","fine-loamy","semiactive","thermic","Udic",25649358,c(-93.99407, 30.59734)
"9","LCP_CCLONES1_Oak_F","CCLONES 1  (LCP loblolly) ","A","Oakfield","Oakfield, Worth County, GA",2002,NA,"Loblolly",17,325130,"Stilson loamy sand, 0 to 2 percent slopes",80,"Stilson","Moderately well drained","Loamy, siliceous, thermic Oxyaquic Paleudults","Ultisols","Udults","Paleudults","Oxyaquic Paleudults","loamy","subactive","thermic","Udic",25265788,c(-83.94655, 31.743592)
"10","LCP_CCLONES1_BFG","CCLONES 1  (LCP loblolly) ","B","BFGrant","Putnam County, GA",NA,NA,"Loblolly",NA,125209,"Davidson clay loam, 6 to 10 percent slopes, moderately eroded",100,"Davidson","Well drained","Fine, kaolinitic, thermic Rhodic Kandiudults","Ultisols","Udults","Kandiudults","Rhodic Kandiudults","fine","not used","thermic","Typic",25400368,c(-83.496534, 33.414571)
"11","LCP_CCLONES1_Pal_C","CCLONES 1  (LCP loblolly) ","C","Palatka","Palatka, Putnam County, FL",2002,NA,"Loblolly",17,323387,"Palmetto fine sand",75,"Palmetto","Poorly drained","Loamy, siliceous, subactive, hyperthermic Grossarenic Paleaquults","Ultisols","Aquults","Paleaquults","Grossarenic Paleaquults","loamy","subactive","hyperthermic","Typic",25164741,c(-81.740298, 29.640283)
"12","LCP_CCLONES1_Nas_A","CCLONES 1  (LCP loblolly) ","D","Nassau","Hilliard, West Nassau County, FL",2003,NA,"Loblolly",17,132925,"Meggett loamy fine sand",83,"Meggett","Poorly drained","Fine, mixed, active, thermic Typic Albaqualfs","Alfisols","Aqualfs","Albaqualfs","Typic Albaqualfs","fine","active","thermic","Typic",25050740,c(-81.889772, 30.748917)
"13","LCP_CCLONES1_Cut_E","CCLONES 1  (LCP loblolly) ","E","Cuthbert","Cuthbert, Randolph County,GA",2002,NA,"Loblolly",17,581283,"Greenville sandy clay loam, 0 to 2 percent slopes",90,"Greenville","Well drained","Fine, kaolinitic, thermic Rhodic Kandiudults","Ultisols","Udults","Kandiudults","Rhodic Kandiudults","fine","not used","thermic","Udic",25240937,c(-84.691608, 31.800267)
"14","LCP_CCLONES1_San","CCLONES 1  (LCP loblolly) ","F","Santa Rosa","Santa Rosa County, FL",2003,NA,"",17,823752,"Bonifay loamy sand, 0 to 5 percent slopes",80,"Bonifay","Well drained","Loamy, siliceous, subactive, thermic Grossarenic Plinthic Paleudults","Ultisols","Udults","Paleudults","Grossarenic Plinthic Paleudults","loamy","subactive","thermic","Typic",25099715,c(-87.192917, 30.834117)
"15","LCP_CCLONES1_Rey","CCLONES 1  (LCP loblolly) ","G","Reynolds","Patrick County, VA",NA,NA,"",17,1473835,"Braddock fine sandy loam, 2 to 8 percent slopes",90,"Braddock","Well drained","Fine, mixed, semiactive, mesic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine","semiactive","mesic",NA,25596304,c(-80.144955, 36.639235)
"16","WG_CCLONES3_Eto","CCLONES 3 (WG loblolly)  ","K","Etoile","Nacogdoches Co., TX",2006,NA,"Loblolly",17,575632,"Etoile loam, 1 to 5 percent slopes",90,"Etoile","Moderately well drained","Fine, smectitic, thermic Vertic Hapludalfs","Alfisols","Udalfs","Hapludalfs","Vertic Hapludalfs","fine","not used","thermic","Typic",25629736,c(-94.34545, 31.39755)
"17","WG_CCLONES3_Jes_B","CCLONES 3 (WG loblolly)  ","L","Jesup","Jesup, Wayne County, GA",2006,NA,"Loblolly",17,125090,"Leon sand, 0 to 2 percent slopes",92,"Leon","Poorly drained","Sandy, siliceous, thermic Aeric Alaquods","Spodosols","Aquods","Alaquods","Aeric Alaquods","sandy","not used","thermic","Aeric",26109935,c(-81.96688, 31.47294)
"18","WG_CCLONES3_Sau_B","CCLONES 3 (WG loblolly)  ","M","Saucier","MS",2006,NA,"Loblolly",17,332446,"Ruston fine sandy loam, 2 to 5 percent slopes",85,"Ruston","Well drained","Fine-loamy, siliceous, semiactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine-loamy","semiactive","thermic","Udic",25939984,c(-89.058278, 30.61507)
"19","Var_1_Sta_N","VARIETIES I","","Starke","Starke, Bradford County, FL",2009,NA,"Loblolly ",5.59,631624,"Sapelo sand",60,"Sapelo","Poorly drained","Sandy, siliceous, thermic Ultic Alaquods","Spodosols","Aquods","Alaquods","Ultic Alaquods","sandy","not used","thermic","Typic",24997510,c(-82.057139, 29.884811)
"20","Var_2_Mil_N","VARIETIES II","","Millhopper","Gainesville, Alachua, FL",2010,NA,"Loblolly ",14.93,320671,"Pomona sand, 0 to 2 percent slopes",70,"Pomona","Poorly drained","Sandy, siliceous, hyperthermic Ultic Alaquods","Spodosols","Aquods","Alaquods","Ultic Alaquods","sandy","not used","hyperthermic","Typic",25395657,c(-82.414867, 29.722488)
